
類型,中文句型,族語句型,英文翻譯,使用情境,備註
複雜句,如果雨停了，你可以出去玩,Ano masaesa' ko 'orad manga'ay masadak a misalama kiso,If the rain stops you can go out to play,條件句回答,
複雜句,媽媽出去的時候，她戴著帽子嗎？,Ya masadak ci ina cikafong cingra?,When mother goes out does she wear a hat?,時間從句,
複雜句,你們知道祖母明天要來嗎？,Anodafak tayni ci ama mafana' kamo?,Do you know grandmother is coming tomorrow?,認知表達,
天氣,天黑了,To'eman to,It's getting dark,天氣描述,
天氣,太陽下山了,Micelem to ko cidal,The sun has set,天氣描述,
天氣,下雨了,Ma'orad to,It's raining,天氣描述,
天氣,颱風來了,Mafaliyos to,The typhoon is coming,天氣描述,
天氣,今天很熱,Fa'edet anini romi'ad,Today is hot,天氣描述,
天氣,今天不冷,Caka si'enaw anini romi'ad,Today is not cold,天氣描述,
季節,現在是夏天,Kaciherangan to anini,It is summer now,季節表達,
季節,夏天時，颱風很多,Kaciherangan to adihay to ko faliyos,In summer there are many typhoons,季節描述,
季節,秋天時，橘子成熟了,Lalo'odan to marohem to ko mami',In autumn the oranges ripen,季節描述,
季節,冬天時，溪水很淺,Kasi'enawan to miming ko nanom no 'alo,In winter the stream water is shallow,季節描述,
