
類別,中文,族語,英文翻譯,備註
時間,夏天,kaciherangan,summer,
時間,秋天,lalo'odan,autumn,
時間,冬天,kasi'enawan,winter,
時間,生日,kasofocan,birthday,
顏色,顏色,cengel,color,
顏色,黑(色),kohetingay,black,
顏色,白(色),kohecalay,white,
顏色,紅(色),kahengangay,red,
問候語,好(見面問候用),Nga'ay ho,hello,
問候語,再見,arayom,goodbye,
問候語,謝謝,aray,thank you,
動詞,來,katayni,come,
動詞,要來,tatayni,will come,
動詞,來過,tayniay to,came,
動詞,去,katayra,go,
動詞,要去,tatayra,will go,
動詞,去了,tayra to,went,
動詞,去過,tayraay to,have gone,
動詞,出現；出來,masadak,appear/come out,
動詞,吃(東西),komaen,eat,
動詞,起床,lomowad,get up,
動詞,睡覺,mafoti',sleep,
動詞,讀書,misa'osi,study,
動詞,唱歌,romadiw,sing,
動詞,跳舞,masakero,dance,
動詞,畫圖,micoka,draw,
動詞,玩耍,misalama,play,
動詞,洗(如洗澡),mingingoy,wash/bathe,
動詞,洗(如洗臉),milali'op,wash (face),
動詞,洗(如洗衣服),mifaca',wash (clothes),
動詞,生病,adada,be sick,
動詞,痛,talaktak,hurt,
動詞,攜帶,mihawikid,carry,
動詞,下雨,ma'orad,rain,
動詞,說,somowal,speak,
動詞,聽,mitengil,listen,
動詞,看,minengneng,look/watch,
動詞,拜訪；探望,miliso',visit,
動詞,喜歡,maolah,like,
動詞,會；能,mafana',can/able,
動詞,可以,maedeng,may,
動詞,遲到,maapac,late,
動詞,隨便,simaan,casual,
動詞,浪費,mila'om,waste,
形容詞,大,tata'ak/tata'ang,big,
形容詞,小,miming,small,
形容詞,多,'adihay/'aloman,many/much,
形容詞,少,mamang,few/little,
形容詞,重,kareteng,heavy,
形容詞,輕,kahemaw,light,
形容詞,長,kakaya',long,
形容詞,短,kamoko',short,
形容詞,高,takaraw,tall/high,
形容詞,矮,poener,short (height),
形容詞,低,paener,low,
形容詞,美麗；好看；漂亮,fangcal,beautiful,
形容詞,英俊,tanestes,handsome,
形容詞,快樂,lipahak,happy,
形容詞,勤勞,malalok,diligent,
形容詞,懶惰,matoka,lazy,
介詞,在(這裡),i (tini),at/in (here),
介詞,在,i,at/in,
動詞,有；擁有,ira/iraay,have,
動詞,穿(如穿衣服),mica'edong,wear (clothes),
動詞,戴(如戴帽子),cikafong,wear (hat),
動詞,走路,romakat,walk,
動詞,出去,masadak,go out,
動詞,坐著,maro',sit,
動詞,站著,tomireng,stand,
動詞,吃早餐,maranam,eat breakfast,
動詞,吃午餐,malahok,eat lunch,
動詞,吃晚餐,malafi,eat dinner,
動詞,(日)落,Micelem ko cidal,sunset,
動詞,天黑,to'eman to,get dark,
動詞,雨停,masaesa' ko 'orad,rain stops,
動詞,刮颱風,mafaliyos,typhoon,
形容詞,炎熱,fa'edet,hot,
形容詞,冷,si'enaw/ki'etec,cold,
動詞,開(門、窗),mafawah,open,
動詞,關(門、窗),ma'edef,close,
動詞,閉(眼睛),makecec,close (eyes),
動詞,工作,matayal,work,
動詞,休息,pahanhan,rest,
動詞,知道,mafana',know,
動詞,忘記,matawal,forget,
動詞,長大,malahad,grow up,
動詞,成熟,marohem,mature,
動詞,想念,ma'ilol,miss,
動詞,禱告；祈求,mitolon,pray,
形容詞,滿滿,matomes,full,
否定詞,沒有(表擁有),awa,not have,
否定詞,沒有(表過去),caho,did not,
否定詞,不要(表未來),naay,will not,
否定詞,別；不要,aka,don't,
否定詞,不可以,tati'ih,cannot,
其他,是的,hai,yes,
其他,不是,caay/caayay,no,
其他,也,ito,also,
其他,真的；非常,so'elin/tada,really/very,
其他,全部；大家,maemin/mapolong,all/everyone,
其他,嗎；呢,saw/sao/haw,question particle,
標記,主格標記,ko ci ca,subject marker,
標記,受格標記,to ci...an ca...an,object marker,
標記,屬格標記,no ni .na,possessive marker,
其他,如果,ano,if,
